application_id,label
application_1445087491445_0005,Normal
application_1445087491445_0007,Normal
application_1445175094696_0005,Normal
application_1445087491445_0001,Machine down
application_1445087491445_0002,Machine down
application_1445087491445_0003,Machine down
application_1445087491445_0004,Machine down
application_1445087491445_0006,Machine down
application_1445087491445_0008,Machine down
application_1445087491445_0009,Machine down
application_1445087491445_0010,Machine down
application_1445094324383_0001,Machine down
application_1445094324383_0002,Machine down
application_1445094324383_0003,Machine down
application_1445094324383_0004,Machine down
application_1445094324383_0005,Machine down
application_1445175094696_0001,Network disconnection
application_1445175094696_0002,Network disconnection
application_1445175094696_0003,Network disconnection
application_1445175094696_0004,Network disconnection
application_1445182159119_0001,Disk full
application_1445182159119_0002,Disk full
application_1445182159119_0003,Disk full
application_1445182159119_0004,Disk full
application_1445182159119_0005,Disk full
application_1445062781478_0011,Normal
application_1445062781478_0016,Normal
application_1445062781478_0019,Normal
application_1445076437777_0002,Normal
application_1445076437777_0005,Normal
application_1445144423722_0021,Normal
application_1445144423722_0024,Normal
application_1445182159119_0012,Normal
application_1445062781478_0012,Machine down
application_1445062781478_0013,Machine down
application_1445062781478_0014,Machine down
application_1445062781478_0015,Machine down
application_1445062781478_0017,Machine down
application_1445062781478_0018,Machine down
application_1445062781478_0020,Machine down
application_1445076437777_0001,Machine down
application_1445076437777_0003,Machine down
application_1445076437777_0004,Machine down
application_1445182159119_0016,Machine down
application_1445182159119_0017,Machine down
application_1445182159119_0018,Machine down
application_1445182159119_0019,Machine down
application_1445182159119_0020,Machine down
application_1445144423722_0020,Network disconnection
application_1445144423722_0022,Network disconnection
application_1445144423722_0023,Network disconnection
application_1445182159119_0011,Disk full
application_1445182159119_0013,Disk full
application_1445182159119_0014,Disk full
application_1445182159119_0015,Disk full


